-1.520125477543448289e+00,1.013416985028965378e+00
-1.436851992202047290e+00,5.127100276988019179e-01
-1.400707189971695632e+00,1.531021470616656943e-01
-1.398573027744935082e+00,-1.093136749037385835e-01
-1.421668749337275939e+00,-3.082646717015164461e-01
-1.464274399223004064e+00,-4.654449830619458717e-01
-1.522485948135299472e+00,-5.922456975680228108e-01
-1.593207151670898769e+00,-6.921116942399010430e-01
-1.673399724368593855e+00,-7.628676030973643440e-01
-1.759592656503860875e+00,-7.991499574335553246e-01
-1.847674428106738320e+00,-7.951408317569486073e-01
-1.932998122619996373e+00,-7.474671863283649520e-01
-2.010789937899914115e+00,-6.576748773098221035e-01
-2.076770010918833176e+00,-5.334413295685302980e-01
-2.127810491022727568e+00,-3.879336731240602965e-01
-2.162424728756470849e+00,-2.374108283954849130e-01
-2.180933566759332809e+00,-9.790573390554682676e-02
-2.185269238801805347e+00,1.784955309337795532e-02
-2.178497428713852990e+00,1.023267571422581956e-01
-2.164210802198760941e+00,1.535849022266548569e-01
-2.145953009022688374e+00,1.743706018547976633e-01
